GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200002,16,2544,LeBron James,1610612748,Miami Heat,1,9,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,122,149,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,26,2544,LeBron James,1610612748,Miami Heat,1,8,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-60,165,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200002,62,2544,LeBron James,1610612748,Miami Heat,1,4,23,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,17,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,98,2544,LeBron James,1610612748,Miami Heat,1,1,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200002,102,2544,LeBron James,1610612748,Miami Heat,1,0,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-75,165,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,225,2544,LeBron James,1610612748,Miami Heat,2,5,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,233,2544,LeBron James,1610612748,Miami Heat,2,4,7,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-86,26,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200002,245,2544,LeBron James,1610612748,Miami Heat,2,3,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-13,115,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,284,2544,LeBron James,1610612748,Miami Heat,2,0,59,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,26,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200002,297,2544,LeBron James,1610612748,Miami Heat,2,0,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,303,2544,LeBron James,1610612748,Miami Heat,3,11,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,159,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,313,2544,LeBron James,1610612748,Miami Heat,3,9,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,39,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200002,337,2544,LeBron James,1610612748,Miami Heat,3,7,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,114,225,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,360,2544,LeBron James,1610612748,Miami Heat,3,5,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,81,208,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,407,2544,LeBron James,1610612748,Miami Heat,4,11,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-152,162,1,1,20121030,MIA,BOS
Shot Chart Detail,0021200002,414,2544,LeBron James,1610612748,Miami Heat,4,11,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,134,1,0,20121030,MIA,BOS
Shot Chart Detail,0021200020,14,2544,LeBron James,1610612748,Miami Heat,1,10,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,1,20121102,NYK,MIA
